,State,Maths %,Science %
170648,AN,69.49,69.64
171897,AN,70.0,64.29
170737,AN,71.19,43.64
170847,AN,71.19,38.18
170840,AN,71.67,44.64
170373,AN,71.67,47.27
171202,AN,71.67,71.43
170841,AN,72.88,36.36
169654,AN,74.09,32.14
170869,AN,74.58,54.55
170843,AN,74.58,23.64
171566,AN,74.58,69.09
171183,AN,74.58,76.36
170853,AN,74.58,36.36
169922,AN,75.0,32.14
171836,AN,75.0,58.93
170852,AN,75.0,41.07
169921,AN,76.27,49.09
171197,AN,76.27,89.09
171904,AN,76.67,75.0
171840,AN,78.33,57.14
171838,AN,80.0,58.93
171842,AN,81.67,58.93
169920,AN,81.67,66.07
171837,AN,83.05,74.55
171839,AN,83.05,58.18
171841,AN,86.44,61.82
1136,AP,0.0,21.48
324,AP,0.06,77.78
315,AP,0.12,74.55
3839,AP,0.17,72.22
6547,AP,0.23,69.09
311,AP,0.29,69.09
5607,AP,0.35,68.52
1994,AP,0.41,67.27
4218,AP,0.46,67.27
5935,AP,0.52,64.81
323,AP,0.58,63.64
3378,AP,0.64,62.96
6513,AP,0.69,61.82
5260,AP,0.75,59.26
2581,AP,0.81,58.18
3749,AP,0.87,58.18
5606,AP,0.93,57.41
111,AP,0.98,57.41
3738,AP,1.04,57.41
308,AP,1.1,57.41
2574,AP,1.16,56.36
5988,AP,1.22,56.36
5478,AP,1.27,55.56
2928,AP,1.33,55.56
2923,AP,1.39,55.56
5599,AP,1.45,54.55
2403,AP,1.51,54.55
3666,AP,1.56,53.7
4918,AP,1.62,53.7
3843,AP,1.68,53.7
4933,AP,1.74,52.73
498,AP,1.8,52.73
